OBJECTID,solute,beta_drought_like,beta_non_drought_highflow,beta_normal,beta_post_drought_rewetting,alpha_drought_like,alpha_non_drought_highflow,alpha_normal,alpha_post_drought_rewetting,n_obs_drought_like,n_obs_non_drought_highflow,n_obs_normal,n_obs_post_drought_rewetting,cv_c_drought_like,cv_c_non_drought_highflow,cv_c_normal,cv_c_post_drought_rewetting,cv_q_drought_like,cv_q_non_drought_highflow,cv_q_normal,cv_q_post_drought_rewetting,cv_ratio_drought_like,cv_ratio_non_drought_highflow,cv_ratio_normal,cv_ratio_post_drought_rewetting,delta_beta_drought_like,delta_cv_ratio_drought_like,delta_beta_post_drought_rewetting,delta_cv_ratio_post_drought_rewetting,delta_beta_non_drought_highflow,delta_cv_ratio_non_drought_highflow
193,DOC,0.16248049510578105,0.24989187161534768,0.25759654010575944,0.15958584098322753,1.077943278708168,1.2509154831382625,1.1233003352356397,1.2832808797763433,59.0,42.0,116.0,11.0,0.0940061422867989,0.12981712724922678,0.12721477714185112,0.13575824917622728,0.25728471001509745,0.3325700599833219,0.3273824870764202,0.30108326294883686,0.3653778814966604,0.3903452020176952,0.38858149767844985,0.45089935536966963,-0.09511604499997839,-0.023203616181789455,-0.09801069912253191,0.06231785769121978,-0.007704668490411765,0.001763704339245331
193,NO3N,-0.13181908850306703,-0.08816625796236484,-0.09333182368289937,0.010293050572914176,1.6929318258419348,1.599205719483737,1.6351803743294633,1.541188532604578,64.0,68.0,167.0,13.0,0.06812390955720028,0.08126506409552695,0.07174011542140867,0.08248018186633349,0.2526623846252564,0.33168599532090126,0.32032288157391614,0.2804762542981469,0.26962426424590363,0.24500601545417738,0.22396188205135845,0.29407188880473595,-0.03848726482016766,0.04566238219454519,0.10362487425581354,0.0701100067533775,0.005165565720534532,0.021044133402818938
193,PO4P,-0.6443324299225821,-0.4422971854566071,-0.4899564908846014,,-1.8597770435625662,-1.6761475194920514,-1.7817163704378596,,64.0,71.0,175.0,2.0,0.20466568488761597,0.19636080006453327,0.19011364955641813,,0.2526623846252564,0.32477250003539265,0.32258455297638683,,0.8100362275578609,0.6046103042687866,0.5893451741637934,,-0.1543759390379807,0.22069105339406747,,,0.04765930542799429,0.015265130104993196
194,DOC,0.04204933020035867,0.11309105154145102,0.046130936811254145,0.07922700810015136,1.4497732445020721,1.4353940511535006,1.4561917721219007,1.4750049634298619,51.0,41.0,120.0,16.0,0.04016339769924797,0.12684001178763804,0.05534160056953152,0.07492137779888025,0.29101719870264114,0.3792579712129828,0.40092510159390504,0.34619770928257043,0.13801039209468366,0.33444257316982673,0.13803476098033576,0.21641211304991215,-0.004081606610895475,-2.4368885652104044e-05,0.033096071288897216,0.07837735206957638,0.06696011473019688,0.19640781218949097
194,NO3N,0.04427383584147106,-0.13155805431792075,-0.057750014514162194,-0.05740400705962587,1.7200397490754133,1.5548289541764382,1.5810090645399404,1.608932908883694,65.0,62.0,157.0,16.0,0.22645886537961055,0.1761549342045161,0.18543817557512782,0.17999212203409565,0.3056822955378632,0.3908503958360226,0.3962395491024442,0.35543260317359354,0.7408308190735905,0.4506965736281873,0.46799512061625237,0.5064029591741964,0.10202385035563324,0.2728356984573381,0.0003460074545363276,0.03840783855794405,-0.07380803980375855,-0.017298546988065044
194,PO4P,-0.29406815214134285,-0.6356125739564644,-0.5343271444564391,,-1.6570748902295704,-1.2569999704460941,-1.5743022108994642,,65.0,65.0,167.0,3.0,0.5825139943606406,0.5093996373088787,0.5019168474884662,,0.3056822955378632,0.38196454101406985,0.3931066677632605,,1.9056190131511483,1.333630697646656,1.2767955586821391,,0.2402589923150963,0.6288234544690092,,,-0.10128542950002528,0.056835138964516974
198,DOC,-0.024272511009142326,0.07517306596191123,-0.03214706914237802,,0.8925706517604506,0.9219011794274965,0.910021881824383,,58.0,43.0,125.0,2.0,0.06482539846171871,0.06296126989906226,0.07519640709887615,,0.3018660712341777,0.19357308375393964,0.26269299062483914,,0.21474887256020672,0.32525839170437276,0.28625205004524357,,0.007874558133235694,-0.07150317748503685,,,0.10732013510428925,0.039006341659129196
198,NO3N,-0.22237122338861798,0.013441200514319195,-0.08985079527187706,,1.937715664796681,1.8856084130708235,1.9661022776187946,,60.0,69.0,156.0,2.0,0.16136639389940585,0.08630058440327773,0.11316649679719759,,0.30561306899605634,0.23162156371544163,0.2519374938669743,,0.5280088133321554,0.3725930479827958,0.4491848158851287,,-0.13252042811674092,0.07882399744702673,,,0.10329199578619626,-0.07659176790233291
198,PO4P,-0.10157145609286158,0.006957386493275427,-0.10397295941011105,,-1.9387375775103073,-1.619081637446041,-1.7908207000179766,,60.0,69.0,158.0,,0.3504854240598756,0.23241630681925582,0.349384289597033,,0.30561306899605634,0.23162156371544163,0.2518272955927119,,1.1468273435138936,1.0034312137914352,1.3873964248978914,,0.002401503317249462,-0.2405690813839978,,,0.11093034590338648,-0.3839652111064562
199,NO3N,0.45265011733309307,0.1639004845473533,0.1896566770384499,0.2285310299201687,-0.3431021295060127,0.056781432263549814,0.13283224098444935,-0.12406113569286537,72.0,64.0,165.0,23.0,0.2541903228571901,0.16584644079968253,0.18114111058488977,0.21679491606615356,0.37250728505674474,0.2582896676008301,0.33728091425454765,0.2758931093375281,0.6823767830969234,0.6420947548547989,0.5370630324139292,0.7857931522346443,0.26299344029464317,0.14531375068299424,0.03887435288171878,0.24873011982071513,-0.02575619249109662,0.10503172244086978
