Solute,Hydrological State,N (Solute-Station-Months),CA Median,CA (25th-75th),FA Median,FA (25th-75th)
NO3N,Drought Like,24339,-0.021,"[-0.125, 0.032]",-0.785,"[-1.125, -0.538]"
NO3N,Post Drought Rewetting,9433,0.000,"[-0.023, 0.026]",0.117,"[-0.050, 0.341]"
NO3N,Non Drought Highflow,21060,0.021,"[-0.037, 0.115]",0.496,"[0.312, 0.753]"
NO3N,Normal,58283,-0.002,"[-0.029, 0.017]",-0.196,"[-0.432, 0.000]"
PO4P,Drought Like,21324,0.030,"[-0.104, 0.146]",-0.622,"[-0.961, -0.407]"
PO4P,Post Drought Rewetting,8286,-0.008,"[-0.078, 0.030]",0.093,"[-0.041, 0.300]"
PO4P,Non Drought Highflow,18622,-0.057,"[-0.218, 0.080]",0.419,"[0.250, 0.663]"
PO4P,Normal,52008,-0.009,"[-0.065, 0.027]",-0.144,"[-0.338, 0.007]"
DOC,Drought Like,9194,-0.107,"[-0.217, -0.030]",-0.974,"[-1.280, -0.732]"
DOC,Post Drought Rewetting,3402,0.017,"[-0.013, 0.072]",0.099,"[-0.119, 0.384]"
DOC,Non Drought Highflow,7371,0.106,"[0.032, 0.206]",0.588,"[0.352, 0.897]"
DOC,Normal,22023,-0.020,"[-0.061, 0.008]",-0.318,"[-0.565, -0.073]"
