Solute,Cause Variable,Edge_Type,Effect Variable
DOC,Aridity Index (Climate),Directed Causation (->),Agricultural Fraction (Land Use)
DOC,Aridity Index (Climate),Directed Causation (->),Drought Memory (CMD_3m)
DOC,Elevation (Topography),Directed Causation (->),Agricultural Fraction (Land Use)
NO3N,Aridity Index (Climate),Directed Causation (->),Agricultural Fraction (Land Use)
NO3N,Aridity Index (Climate),Directed Causation (->),Drought Memory (CMD_3m)
NO3N,Elevation (Topography),Directed Causation (->),Agricultural Fraction (Land Use)
NO3N,Elevation (Topography),Directed Causation (->),Aridity Index (Climate)
NO3N,Elevation (Topography),Directed Causation (->),Response Archetype (Terminal)
PO4P,Aridity Index (Climate),Directed Causation (->),Elevation (Topography)
PO4P,Aridity Index (Climate),Directed Causation (->),Agricultural Fraction (Land Use)
PO4P,Aridity Index (Climate),Directed Causation (->),Drought Memory (CMD_3m)
PO4P,Elevation (Topography),Directed Causation (->),Agricultural Fraction (Land Use)
PO4P,Elevation (Topography),Directed Causation (->),Response Archetype (Terminal)
