Solute,Cause,Effect,Edge_Type
NO3N,Elevation,Aridity,Directed Causation (->)
NO3N,Agri_Frac,Elevation,Directed Causation (->)
NO3N,Agri_Frac,Aridity,Directed Causation (->)
NO3N,Aridity,Avg_Drought_Memory,Directed Causation (->)
NO3N,Archetype,Elevation,Directed Causation (->)
PO4P,Agri_Frac,Elevation,Directed Causation (->)
PO4P,Agri_Frac,Aridity,Undirected / Confounded (-)
PO4P,Aridity,Elevation,Directed Causation (->)
PO4P,Aridity,Avg_Drought_Memory,Undirected / Confounded (-)
PO4P,Archetype,Elevation,Directed Causation (->)
DOC,Elevation,Agri_Frac,Undirected / Confounded (-)
DOC,Agri_Frac,Aridity,Undirected / Confounded (-)
DOC,Aridity,Avg_Drought_Memory,Undirected / Confounded (-)
